name,surname,gender,occupacy,level_of_education,email,bank_account_number,IBAN,account_type,currency_unit,total_balance_available,available_for_loan
Cormac,Villa,F,teacher,BSc,cormacvilla@hotmail.com,7759-9371661,TR93 8333 1008 8321 3177 01,drawing,€,130,☹
Joyce,Branch,F,economist,PhD,joycebranch@gmail.com,6638-8377522,TR10 1088 3297 7731 6658 89,deposit,₺,927,😊
Mariyah,Lawson,F,lawyer,BSc,mariyahlawson@hotmail.com,9968-8380057,TR88 8233 6665 9665 9693 91,deposit,₺,1384,😊
Mikolaj,Le,M,,HS,mikolaj@gmail.com,3322-8855220,TR22 9988 2277 4466 5400 44,drawing,$,90,☹
Reuben,Morrow,M,teacher,MSc,,4499-4757929,TR77 8489 9603 3552 2677 49,daily_deposit,₺,500,😊
Jonah,Arnold,M,dentist,PhD,jonaharnold@gmail.com,8333-7599522,TR85 8000 5775 9922 7750 13,deposit,₺,800,😊
Shirley,Gay,F,,PS,,1116-4477889,TR46 6336 6243 4558 8978 79,drawing,€,190,☹
Soraya,Miranda,F,economist,BSc,sorayamiranda@gmail.com,3376-9300275,TR55 7399 2775 0004 3221 41,daily_deposit,₺,736,😊
Lorcan,Ibarra,M,doctor,BSc,,5522-8400000,TR00 4888 4726 6640 0024 82,deposit,₺,2500,😊
Jake,Larsen,M,engineer,PhD,jakelarsen@yahoo.com,1001-9201884,TR66 7944 5524 4927 5491 95,deposit,$,284,☹
Alvin,Burns,M,economist,MSc,alvin@gmail.com,7729-9274011,TR88 4422 0011 7447 5733 55,drawing,€,120,☹
Szymon,Owens,M,,MSc,szymon_owens@gmail.com,5555-6371758,TR24 4537 7311 9663 0024 66,drawing,$,1020,😊
Maariyah,Mathis,F,doctor,MSc,,6642-9265463,TR11 1138 8300 7737 3319 62,deposit,€,389,☹
Azaan,Pugh,F,engineer,BSc,azaan@hotmail.com,1100-0022884,TR00 3388 3355 5775 5005 99,daily_deposit,₺,508,☹
Jamal,Gallagher,M,greengrocer,HS,jamal_gallagher@gmail.com,6767-3003776,TR33 9948 8500 0047 7529 40,drawing,₺,677,☹
Xander,Hubbard,M,unemployed,HS,xander_hub@hotmail.com,5553-8850385,TR34 0001 0003 0005 2427 87,drawing,₺,85,☹
Liberty,Blackwell,F,unemployed,MSc,,6886-9477694,TR44 4479 5933 0599 5000 05,daily_deposit,₺,107,☹
Frederic,Phelps,M,businessman,BSc,frederic_phelps@gmail.com,4447-4800474,TR96 8850 3770 3775 9211 99,deposit,$,690,😊
Sahar,Barnes,F,,MSc,sahar@hotmail.com,8699-3772776,TR10 4094 9090 0042 4464 77,drawing,€,369,☹
Leonard,Jackson,M,police,BSc,leonard_jackson@yahoo.com,1148-9492754,TR88 6906 0038 2791 7878 19,daily_deposit,₺,793,😊
Madeleine,Burton,F,salesperson,BSc,,8885-9395739,TR74 3829 9197 7599 8800 04,deposit,₺,280,☹
Jordan,Paul,M,businessman,HS,jordan_paul@hotmail.com,6666-8686888,TR03 2888 4920 0004 7742 44,deposit,$,2280,😊
Aisha,Ryan,F,engineer,PhD,aisha_ryan@gmail.com,6668-9690003,TR90 9399 3925 7101 8381 85,drawing,$,956,😊
Francesco,Ashley,M,teacher,BSc,,4444-9000482,TR11 9918 8272 1212 2123 73,daily_deposit,₺,411,☹
Rex,Chaney,M,police,HS,rex_chaney@hotmail.com,2223-2354485,TR77 7499 4920 0114 8842 46,deposit,€,825,😊
Anais,Russell,F,doctor,BSc,anaisruss@hotmail.com,4428-0018733,TR11 0199 0194 7729 2744 27,deposit,$,2110,😊
Thea,Rollins,F,lawyer,MSc,thea@gmail.com,8589-2900181,TR08 4700 0482 2881 1477 53,drawing,€,863,😊
Isobelle,Villanueva,F,pharmacist,BSc,,1113-3990244,TR66 7488 8371 0077 7742 29,daily_deposit,₺,1411,😊
Henrietta,Moyer,F,unemployed,PS,henriettamoyer@gmail.com,5529-2991142,TR89 9572 2456 6653 8555 31,drawing,₺,75,☹
Katherine,Pearce,F,housekeeper,PS,katherine_pearce@yahoo.com,5039-3771947,TR18 1847 7927 7017 7400 03,deposit,₺,404,☹
